variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q3_30,5.3.30 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,2767,0,,,,
s5q3_31,5.3.31 Pesticide used_Type 2,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,2770,0,,,,
s5q3_32,5.3.32 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,987,0,,,,
s5q3_33,5.3.33 Used Quantity of  Pesticide used_Type 2,double,,0,987,0,,,,
s5q3_34,5.3.34 Purchased Quantity(Kg),double,,0,987,0,,,,
s5q3_35,5.3.35 Price of purchased Pesticide_Type 2 (RWF/Kg),double,,0,968,0,,,,
s5q3_36,5.3.36 Source of pesticide used-Source 2,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,986,0,,,,
s5q3_37,5.3.37 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,986,0,,,,
s5q3_38,5.3.38 Pesticide used_Type 3,int8,"0=NA, 1=Dithane, 2=Ridomil, 3=Dimethoate, 4=Cypermethrin …",10,986,0,,,,
s5q3_39,5.3.39 Measurement unit,int8,"1=Kg, 2=g, 3=l, 4=cc",4,276,0,,,,
s5q3_40,5.3.40 Used Quantity of  Pesticide used_Type 3,double,,0,276,0,,,,
s5q3_41,5.3.41 Purchased Quantity(Kg),double,,0,276,0,,,,
s5q3_42,5.3.42 Price of purchased Pesticide_Type 3 (RWF/Kg),int8,,0,202,0,,,,
s5q3_43,5.3.43 Source of pesticide used-Source 3,int8,"1=Government (MINAGRI/RAB/NAEB/District), 2=Market, 3=Government & Market, 4=NGO, 5=Other place (specify)",5,274,0,,,,
s5q3_44,5.3.44 What was the purpose of applying pesticide?,int8,"1=Prevent diseases, 2=Treat diseases, 3=Both",3,274,0,,,,
s5q4_1_a,5.4.1 Crops planted in season A-Crop 1,int16,"97=Pasture, 98=Fallow, 99=Non-agricultural, 101=Maize, 102=Paddy rice …",90,14931,0,,,,
s5q4_2_a,5.4.2 Type of seeds used season A,int8,"1=Traditional seeds, 2=Improved seeds, 3=Both",3,14931,0,,,,
s5q4_3_a,5.4.3 Quantity of traditional seeds  sown  ( Kg),double,,0,12828,0,,,,
