# SAS checks report

Generated by 03_checks.py.

## A. Pooled crop-production file vs the per-wave cleaned files

| section | statistic | Python | reference | result |
| E | lsf_farmq_part2a_2013_2016: waves appended (informational) | 2 |  | n/a |
| E | lsf_farmq_part2b_2013_2016: waves appended (informational) | 2 |  | n/a |
| E | fertilizers_pesticides: waves appended (informational) | 21 |  | n/a |
| E | agricultural_practice: waves appended (informational) | 21 |  | n/a |
| E | screening_crops: waves appended (informational) | 21 |  | n/a |
| E | screening_agroforestry: waves appended (informational) | 12 |  | n/a |
| E | screening_antierosion: waves appended (informational) | 12 |  | n/a |
| E | fertilizers_2017_2018: waves appended (informational) | 10 |  | n/a |
| E | pesticides_2017_2018: waves appended (informational) | 10 |  | n/a |
| E | antierosion_2017_2018: waves appended (informational) | 10 |  | n/a |
| E | irrigation_land_tenure_2017_2018: waves appended (informational) | 10 |  | n/a |
| E | screening_2017_2018: waves appended (informational) | 10 |  | n/a |
| E | crop-production rows sharing (wave, farm_type, segment, holder, plot, crop) -- NOT a unique key (informational) | 54 |  | n/a |
| E |   2017_A: rows with a duplicated key (informational) | 16 |  | n/a |
| E |   2017_B: rows with a duplicated key (informational) | 24 |  | n/a |
| E |   2018_B: rows with a duplicated key (informational) | 6 |  | n/a |
| E |   2022_A: rows with a duplicated key (informational) | 6 |  | n/a |
| E |   2023_B: rows with a duplicated key (informational) | 2 |  | n/a |
| E | crop list 2013: codes whose meaning changes between waves of the same list generation (informational; 52 codes; use crop_name) | 2 |  | n/a |
| E | crop list 2014-2016: codes whose meaning changes between waves of the same list generation (informational; 83 codes; use crop_name) | 3 |  | n/a |
| E | crop list 2017-2019: codes whose meaning changes between waves of the same list generation (informational; 102 codes; use crop_name) | 2 |  | n/a |
| E | crop list 2020+: codes whose meaning changes between waves of the same list generation (informational; 97 codes; use crop_name) | 9 |  | n/a |
  2020+: 131: beet root / sugar beet; 140: chia seeds / other seasonal crops / other seasonal crops specify; 206: other annual crops specify / tobacco; 414: mandaline / mandoline / other fruits / other fruits specify; 415: jack fruits / mandoline; 416: gooseberry / goosebery / jack fruits; 417: goosebery / strawberry; 418: coeur de boeuf / coeur de boeuf sugar apple annona squamosa / strawberry / sugar apple coeur de boeuf annona squamosa; 419: coeur de boeuf / other fruits specify
  2014-2016: 16: cauliflowers / flower cabage; 44: african cabbage / small eggplants isogi; 99: non agr / non agri / non agriculture / non agriculture land / uncultivated
  2017-2019: 201:  / izindi mboga zerera igihembwe zitamara umwaka mu murima zivuge / other seasonal vegetable; 267:  / marakuja / passion fruit
  2013: 98: fallow / fallow land / urajwe; 99: non agriculture / uncultivated
| E | pooled columns holding waves with incompatible value-label texts for the same code (must be 0) | 0 | 0 | PASS |
| E | variables split into versions, all pooled files (informational) | 180 |  | n/a |
| E | of which because of value labels or unlabelled ranges (informational) | 80 |  | n/a |
| E | variables with codes observed outside their own wave's value labels -- stale labels (informational) | 33 |  | n/a |

**All checks passed.**
