scope,wave,native,clean_name,clean_label,native_label
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_05_smt_9,cfsva_girinka_cow_family,CFSVA 2021-2024: Girinka (one cow per family),S11_05/Girinka (one cow per family)
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_06,cfsva_household_benefit_other,CFSVA 2021-2024: Or one (or more) of its members benefit from any other,S11_06 Did your household or one (or more) of its members benefit from any other
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07,cfsva_type_assistance_provided,CFSVA 2021-2024: What type of assistance was provided?,S11_07 What type of assistance was provided?
pooled:CFSVA_pooled_household.dta,2021,s11_07_1,cfsva_speficy_types_assistance,CFSVA 2021: Please speficy other types of assistance received?,Please speficy other types of assistance received?
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_1,cfsva_access_credit_inc,CFSVA 2021-2024: Access to credit/loans for agricultural/livestock related,S11_07/Access to credit/loans for agricultural/livestock related activities (inc
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_10,cfsva_direct_transfers_smt_10,CFSVA 2021-2024: Direct transfers (other than VUP),S11_07/Direct transfers (other than VUP)
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_11,cfsva_medical_svc_smt_11,CFSVA 2021-2024: Medical services (including mutuelle de sante),S11_07/medical services (including mutuelle de sante)
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_12,cfsva_construction_smt_12,CFSVA 2021-2024: Construction/building materials,S11_07/Construction/building materials
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_13,cfsva_water_sanitation_smt_13,CFSVA 2021-2024: Water and/or sanitation,S11_07/Water and/or sanitation
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_14,cfsva_other_non_food_smt_14,CFSVA 2021-2024: Other non food assistance,S11_07/Other non food assistance
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_2,cfsva_access_credit_s1107smt2,CFSVA 2021-2024: Access to credit/loans for Other NON agricultural/livestock,S11_07/Access to credit/loans for Other NON agricultural/livestock related activ
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_3,cfsva_agri_input_smt_3,"CFSVA 2021-2024: Agricultural input assistance (tools, seeds, fertilizer, etc.)","S11_07/Agricultural input assistance (tools, seeds, fertilizer, etc.)"
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_4,cfsva_training_technical_prac,CFSVA 2021-2024: Training and technical assistance in improved,S11_07/Training and technical assistance in improved agricultural/livestock prac
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_5,cfsva_large_livestock_eg_smt_5,CFSVA 2021-2024: Large Livestock (eg. cow),S11_07/Large Livestock (eg. cow)
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_6,cfsva_small_lvstk_eg_smt_6,CFSVA 2021-2024: Small livestock (eg. chicken rabbits...),S11_07/Small livestock (eg. chicken rabbits…)
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_7,cfsva_fish_ponds_smt_7,CFSVA 2021-2024: Fish ponds,S11_07/Fish ponds
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_8,cfsva_veterinary_services_smt_8,CFSVA 2021-2024: Veterinary services,S11_07/Veterinary services
pooled:CFSVA_pooled_household.dta,"2021,2024",s11_07_smt_9,cfsva_education_school_smt_9,CFSVA 2021-2024: For education (e.g. school materials),S11_07/For education (e.g. school materials)
pooled:CFSVA_pooled_household.dta,2018,s11n1,cfsva_hh_reported_shocks_2018,CFSVA 2018: HH reported shocks,-------------- HH reported shocks --------------------
pooled:CFSVA_pooled_household.dta,2018,s11n2,cfsva_hh_reported_shocks_s11n2,CFSVA 2018: HH reported shocks,-------------- HH reported shocks --------------------
pooled:CFSVA_pooled_household.dta,2009,s11q0,cfsva_hh_recvd_food_assistance,"CFSVA 2009: Anyone in the household received food assistance, last 12 months","11.0.Mu mezi 12 ashize, hari uwo muri uru rugo wabonye imfas"
pooled:CFSVA_pooled_household.dta,2009,s11q1b,cfsva_food_assistance_children,CFSVA 2009: Food assistance received: food for children,11.2.1. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo by'ab
pooled:CFSVA_pooled_household.dta,2009,s11q1d,cfsva_food_assistance_recvd,CFSVA 2009: Food assistance received: targeted food rations,11.2.2. NI IYIHE MFASHANYO Y'IBIRYO MWABONYE ?: Ibiryo bigen
