variable,label,type,value_labels,n_value_labels,n_2006,n_2009,n_2012,n_2015,n_2018,n_2021,n_2024,source,versions,label_variants,value_label_conflicts
qh906_1,Source of prefered food September2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qh906_2,Source of Beans September2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qi906_1,Source of prefered food October2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qi906_2,Source of Beans October2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qj906_1,Source of prefered food November2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qj906_2,Source of Beans November2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qk906_1,Source of prefered food December2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qk906_2,Source of Beans December2011,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
ql906_1,Source of prefered food January2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
ql906_2,Source of Beans January2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
qm906_1,Source of prefered food February2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4587,0,0,0,0,,,,
qm906_2,Source of Beans February2012,int8,"1=Own production, 2=Market, 3=Aid, 4=NA (not consumed)",4,0,0,4597,0,0,0,0,,,,
q1001,"In the last 7 days, have there been times when your household did not have enoug",int8,"0=No, 1=Yes",2,0,0,4600,0,0,0,0,,,,
q1002_1,Rely on less preferred and less expensive foods,int8,,0,0,0,4600,0,0,0,0,,,,
q1002_2,"Borrow food, or rely on help from a friend or relative",int8,,0,0,0,4600,0,0,0,0,,,,
q1002_3,Limit portion size at mealtimes,int8,,0,0,0,4600,0,0,0,0,,,,
q1002_4,Restrict consumption by adults in order for small children to eat,int8,,0,0,0,4600,0,0,0,0,,,,
q1002_5,Reduce number of meals eaten in a day,int8,,0,0,0,4600,0,0,0,0,,,,
q1101,In the last 12 months were there any specific months in which your household fou,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_00,All months,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_01,Mar-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_02,Apr-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_03,May-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_04,Jun-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_05,Jul-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_06,Aug-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_07,Sep-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_08,Oct-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_09,Nov-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_10,Dec-11,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_11,Januray 2012,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1102_12,Feb-12,int8,"0=No, 1=Yes",2,0,0,4601,0,0,0,0,,,,
q1103,Was this situation usual for your household at that time of year?:,int8,"0=No unusual, 1=Yes, usual",2,0,0,4601,0,0,0,0,,,,
