21:37:19 02_checks INFO ==== 02_checks | run 20260905-213719_02_checks | python 3.13.5 | pandas 2.2.3 | pyreadstat 1.3.4
21:38:43 02_checks INFO 
# Harmonization checks report

Generated by 02_checks.py.

## A. Completeness and no data loss (rows and native columns of the CURRENT source file)

| section | statistic | harmonised | reference | result |
| B | H_CFSVA_woman.dta 2024: household keys found in H_CFSVA_household (share x 1000; must be >= 900) | 1,000 | 1,000 | PASS |

## C. Concepts recomputed independently vs h_* (second route)

| section | statistic | harmonised | independent | result |
|---|---|---:|---:|---|
| C | LFS: h_sex == sex on every row | 720,947 | 720,947 | PASS |
| C | LFS: h_lfstatus == status1 on rows with an observed status | 455,338 | 455,338 | PASS |
| C | LFS: h_employed == (status1 == 1) on rows with an observed status | 455,338 | 455,338 | PASS |
| C | LFS: h_employed missing exactly where status1 is missing | 265,609 | 265,609 | PASS |
| C | LFS: household-interviews with exactly one head (h_relation == 1), share x 1000 | 1,000 | 1,000 | PASS |
| C | LFS 2024: h_relation == independent recode of the 14-code list (a02_v2) | 102,562 | 102,562 | PASS |
| C | LFS 2025: h_relation == independent recode of the 14-code list (a02_v2) | 100,852 | 100,852 | PASS |
| C | Census: h_sex == sex | 3,165,813 | 3,165,813 | PASS |
| C | Census 2012: h_lfstatus == independent recode of rp2024 + P23 (code 9 by availability) | 883,622 | 883,622 | PASS |
| C | Census 2012: code-9 persons available for work classified unemployed (6,471) | 6,471 | 6,471 | PASS |
| C | Census 2002: h_lfstatus == independent recode of p21 (8 jobless -> unemployed) | 607,987 | 607,987 | PASS |
| C | Census: private households with exactly one head, share x 1000 | 1,000 | 1,000 | PASS |
| C | Census 2022: h_marital == independent recode of p06 | 910,862 | 910,862 | PASS |
| C | Census 2012: h_marital == independent recode of p29_v2 | 681,318 | 681,318 | PASS |
| C | EICV: h_sex == sex | 327,841 | 327,841 | PASS |
| C | EICV4: h_lfstatus == independent recode of lfs6 | 55,061 | 55,061 | PASS |
| C | EICV1/2: h_lfstatus == independent recode of econstatus | 52,326 | 52,326 | PASS |
| C | EICV3: h_lfstatus == independent recode of the five work items (VUP 3 = no) | 56,091 | 56,091 | PASS |
| C | EICV3: nonworkers with VUP item = 3 left missing (must be 0) | 0 | 0 | PASS |
| C | EICV3: weighted employment / population ratio 16+ with a status (%; informational: was 95.1 before the fix) | 84 |  | n/a |
| C | EICV: rows with h_educ = tertiary and s2aq3_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2cq3_v3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s4aq2_v5 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2aq3_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2cq3_v2 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
| C | EICV: rows with h_educ = tertiary and s2aq3 in (90, 98, 99) (must be 0) | 0 | 0 | PASS |
